n,R,T,seed,instance_path,shared_work_dir,data_mode,ours_exe,ours_reconstruct_status,ours_reconstruct_objective,ours_reconstruct_reported_time_ms,ours_reconstruct_wall_time_ms,ours_reconstruction_success,ours_reconstructed_order_cost,ours_order_length,ours_reconstruct_memo_used_bytes,ours_reconstruct_peak_working_set_bytes,article_status,article_objective,article_wall_time_ms,article_memo_bytes,article_reported_ram_bytes,article_peak_working_set_bytes,ratio_ours_reconstruct_wall_to_article,ratio_ours_reconstruct_memo_to_article_memo,ratio_ours_reconstruct_peak_to_article_peak,objective_comparison_status,objective_match,notes,ours_reconstruct_run_line,ours_reconstruct_run_n,ours_reconstruct_run_seed,ours_reconstruct_run_input,ours_reconstruct_run_decomp,ours_reconstruct_run_memo_backend,ours_reconstruct_run_use_ub,ours_reconstruct_run_use_lb,ours_reconstruct_run_terminal_rules,ours_reconstruct_run_position_filtering_enabled,ours_reconstruct_run_enable_lawler_basic_rules,ours_reconstruct_run_enable_simple_lb,ours_reconstruct_run_enable_lb_memo,ours_reconstruct_run_enable_edd_ub,ours_reconstruct_run_ub_depth_limit,ours_reconstruct_run_lb_depth_limit,ours_reconstruct_run_terminal_all_tardy_spt,ours_reconstruct_run_terminal_edd_at_most_one_tardy,ours_reconstruct_run_enable_memo,ours_reconstruct_run_enable_exact_memo,ours_reconstruct_run_memo_full_key_verification,ours_reconstruct_run_memo_memory_limit_mb,ours_reconstruct_run_cost,ours_reconstruct_run_reconstruction_success,ours_reconstruct_run_reconstructed_order_cost,ours_reconstruct_run_time_ms,ours_reconstruct_run_nodes,ours_reconstruct_run_max_depth,ours_reconstruct_run_memo_hits,ours_reconstruct_run_memo_misses,ours_reconstruct_run_memo_exact_hits,ours_reconstruct_run_memo_lb_hits,ours_reconstruct_run_rule4,ours_reconstruct_run_valid_pos,ours_reconstruct_run_valid_pos_pruned_3a,ours_reconstruct_run_valid_pos_pruned_3b,ours_reconstruct_run_memo_rejected,ours_reconstruct_run_memo_forced_evict,ours_reconstruct_run_lufo_passes,ours_reconstruct_run_terminal_spt,ours_reconstruct_run_terminal_edd,ours_reconstruct_run_memo_peak,ours_reconstruct_run_memo_final,ours_reconstruct_run_memo_evictions,ours_reconstruct_run_memo_clean_time_ms,ours_reconstruct_run_reconstruction_time_ms,ours_reconstruct_run_reconstruction_repairs,ours_reconstruct_run_reconstruction_trace_hits,ours_reconstruct_run_reconstruction_trace_fallbacks,ours_reconstruct_run_memo_used_mb,ours_reconstruct_run_memo_bytes_per_entry,article_raw_metrics,article_metric_TT,article_metric_time,article_metric_RAM,article_metric_NbBytesMem,article_metric_NbBytesMem2,article_metric_NbEntryMem,article_metric_NbEntryMem2,article_metric_NbJobsMem,article_metric_Hits,article_metric_Hits2,article_metric_Miss,article_metric_Miss2,article_metric_All,article_metric_MerL,article_metric_szMerL,article_metric_MerR,article_metric_szMerR,article_metric_MovL,article_metric_MovR,article_metric_MinRatio,source_file,ours_solved,article_solved,both_solved,time_ratio,memory_ratio,ours_wall_time_s,article_wall_time_s,ours_peak_gb,article_peak_gb,objective_comparison_status_norm,rows_for_n,complete_n
50,0.2,0.2,0,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_1.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,824,0.5016,63.432,,,50,37440,32768,SOLVED,824.0,74.369,3418.0,5128192.0,1794048,0.852936,10.953774,0.018265,MATCH,True,,[run] n=50 seed=0 input=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_1.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=824 time_ms=0.5016 nodes=234 max_depth=49 memo_hits=3 memo_misses=467 memo_exact_hits=3 memo_lb_hits=0 rule4=1 valid_pos=2369 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=51 memo_peak=234 memo_final=234 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0472 reconstruction_repairs=0 reconstruction_trace_hits=46 reconstruction_trace_fallbacks=0 memo_used_mb=0.0357056 memo_bytes_per_entry=160,50,0,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_1.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,824,,,0.5016,234,49,3,467,3,0,1,2369,0,0,0,0,0,0,51,234,234,0,0,0.0472,0,46,0,0.0357056,160,All=188;Hits=1;Hits2=0;MerL=0;MerR=0;MinRatio=1;Miss=0;Miss2=0;MovL=0;MovR=0;NbBytesMem=3418;NbBytesMem2=0;NbEntryMem=56;NbEntryMem2=0;NbJobsMem=-1;RAM=5128192;TT=824;szMerL=0;szMerR=0,824.0,,5128192.0,3418.0,0.0,56.0,0.0,-1.0,1.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C:\c++\test2\results\article_code_comparison\raw_results.csv,True,True,True,0.852936,0.018265,0.063432,0.074369,3.0517578125e-05,0.00167083740234375,MATCH,200,True
50,0.2,0.2,1,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_2.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,456,0.2459,53.364,,,50,8480,1806336,SOLVED,456.0,53.403,704.0,4661248.0,1781760,0.99927,12.045455,1.013793,MATCH,True,,[run] n=50 seed=1 input=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_2.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=456 time_ms=0.2459 nodes=53 max_depth=49 memo_hits=0 memo_misses=105 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=438 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=4 memo_peak=53 memo_final=53 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0507 reconstruction_repairs=0 reconstruction_trace_hits=45 reconstruction_trace_fallbacks=0 memo_used_mb=0.00808716 memo_bytes_per_entry=160,50,1,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_2.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,456,,,0.2459,53,49,0,105,0,0,1,438,0,0,0,0,0,0,4,53,53,0,0,0.0507,0,45,0,0.00808716,160,All=37;Hits=2;Hits2=0;MerL=0;MerR=0;MinRatio=1;Miss=0;Miss2=0;MovL=0;MovR=0;NbBytesMem=704;NbBytesMem2=0;NbEntryMem=11;NbEntryMem2=0;NbJobsMem=-1;RAM=4661248;TT=456;szMerL=0;szMerR=0,456.0,,4661248.0,704.0,0.0,11.0,0.0,-1.0,2.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C:\c++\test2\results\article_code_comparison\raw_results.csv,True,True,True,0.99927,1.013793,0.053363999999999995,0.053403,0.001682281494140625,0.001659393310546875,MATCH,200,True
50,0.2,0.2,2,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_3.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,643,0.2794,53.408,,,50,11520,1810432,SOLVED,643.0,53.235,648.0,4669440.0,1810432,1.00325,17.777778,1.0,MATCH,True,,[run] n=50 seed=2 input=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_3.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=643 time_ms=0.2794 nodes=72 max_depth=49 memo_hits=0 memo_misses=143 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=577 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=1 terminal_edd=10 memo_peak=72 memo_final=72 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0502 reconstruction_repairs=0 reconstruction_trace_hits=43 reconstruction_trace_fallbacks=0 memo_used_mb=0.0109863 memo_bytes_per_entry=160,50,2,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_3.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,643,,,0.2794,72,49,0,143,0,0,1,577,0,0,0,0,0,1,10,72,72,0,0,0.0502,0,43,0,0.0109863,160,All=36;Hits=1;Hits2=0;MerL=0;MerR=0;MinRatio=1;Miss=0;Miss2=0;MovL=0;MovR=0;NbBytesMem=648;NbBytesMem2=0;NbEntryMem=10;NbEntryMem2=0;NbJobsMem=-1;RAM=4669440;TT=643;szMerL=0;szMerR=0,643.0,,4669440.0,648.0,0.0,10.0,0.0,-1.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C:\c++\test2\results\article_code_comparison\raw_results.csv,True,True,True,1.00325,1.0,0.053408000000000004,0.053235,0.00168609619140625,0.00168609619140625,MATCH,200,True
50,0.2,0.2,3,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_4.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,653,0.2517,54.268,,,50,9920,1794048,SOLVED,653.0,53.367,922.0,4804608.0,1785856,1.016883,10.759219,1.004587,MATCH,True,,[run] n=50 seed=3 input=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_4.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=653 time_ms=0.2517 nodes=62 max_depth=49 memo_hits=0 memo_misses=123 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=418 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=2 terminal_edd=5 memo_peak=62 memo_final=62 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0519 reconstruction_repairs=0 reconstruction_trace_hits=48 reconstruction_trace_fallbacks=0 memo_used_mb=0.00946045 memo_bytes_per_entry=160,50,3,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_4.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,653,,,0.2517,62,49,0,123,0,0,1,418,0,0,0,0,0,2,5,62,62,0,0,0.0519,0,48,0,0.00946045,160,All=47;Hits=2;Hits2=0;MerL=0;MerR=0;MinRatio=1;Miss=0;Miss2=0;MovL=0;MovR=0;NbBytesMem=922;NbBytesMem2=0;NbEntryMem=15;NbEntryMem2=0;NbJobsMem=-1;RAM=4804608;TT=653;szMerL=0;szMerR=0,653.0,,4804608.0,922.0,0.0,15.0,0.0,-1.0,2.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C:\c++\test2\results\article_code_comparison\raw_results.csv,True,True,True,1.016883,1.004587,0.054268000000000004,0.053367,0.00167083740234375,0.0016632080078125,MATCH,200,True
50,0.2,0.2,4,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_5.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,612,0.1457,54.09,,,50,6240,1765376,SOLVED,612.0,53.654,486.0,4788224.0,1777664,1.008126,12.839506,0.993088,MATCH,True,,[run] n=50 seed=4 input=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_5.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=612 time_ms=0.1457 nodes=39 max_depth=49 memo_hits=0 memo_misses=77 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=290 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=1 terminal_edd=4 memo_peak=39 memo_final=39 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.031 reconstruction_repairs=0 reconstruction_trace_hits=26 reconstruction_trace_fallbacks=0 memo_used_mb=0.00595093 memo_bytes_per_entry=160,50,4,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_5.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,612,,,0.1457,39,49,0,77,0,0,1,290,0,0,0,0,0,1,4,39,39,0,0,0.031,0,26,0,0.00595093,160,All=31;Hits=1;Hits2=0;MerL=0;MerR=0;MinRatio=1;Miss=0;Miss2=0;MovL=0;MovR=0;NbBytesMem=486;NbBytesMem2=0;NbEntryMem=10;NbEntryMem2=0;NbJobsMem=-1;RAM=4788224;TT=612;szMerL=0;szMerR=0,612.0,,4788224.0,486.0,0.0,10.0,0.0,-1.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C:\c++\test2\results\article_code_comparison\raw_results.csv,True,True,True,1.008126,0.993088,0.054090000000000006,0.053654,0.001644134521484375,0.00165557861328125,MATCH,200,True
50,0.2,0.2,5,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_6.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,583,0.0453,53.309,,,50,1280,1642496,SOLVED,583.0,53.142,488.0,4800512.0,1740800,1.003143,2.622951,0.943529,MATCH,True,,[run] n=50 seed=5 input=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_6.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=583 time_ms=0.0453 nodes=8 max_depth=49 memo_hits=0 memo_misses=15 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=83 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=3 memo_peak=8 memo_final=8 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0072 reconstruction_repairs=0 reconstruction_trace_hits=5 reconstruction_trace_fallbacks=0 memo_used_mb=0.0012207 memo_bytes_per_entry=160,50,5,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_6.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,583,,,0.0453,8,49,0,15,0,0,1,83,0,0,0,0,0,0,3,8,8,0,0,0.0072,0,5,0,0.0012207,160,All=23;Hits=0;Hits2=0;MerL=0;MerR=0;MinRatio=1;Miss=0;Miss2=0;MovL=0;MovR=0;NbBytesMem=488;NbBytesMem2=0;NbEntryMem=9;NbEntryMem2=0;NbJobsMem=-1;RAM=4800512;TT=583;szMerL=0;szMerR=0,583.0,,4800512.0,488.0,0.0,9.0,0.0,-1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C:\c++\test2\results\article_code_comparison\raw_results.csv,True,True,True,1.003143,0.943529,0.053308999999999995,0.053142,0.001529693603515625,0.001621246337890625,MATCH,200,True
50,0.2,0.2,6,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_7.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,858,0.369,54.026,,,50,30080,1777664,SOLVED,858.0,53.175,1324.0,4669440.0,1810432,1.016004,22.719033,0.9819,MATCH,True,,[run] n=50 seed=6 input=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_7.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=858 time_ms=0.369 nodes=188 max_depth=49 memo_hits=2 memo_misses=375 memo_exact_hits=2 memo_lb_hits=0 rule4=1 valid_pos=1107 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=44 memo_peak=188 memo_final=188 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0458 reconstruction_repairs=0 reconstruction_trace_hits=45 reconstruction_trace_fallbacks=0 memo_used_mb=0.0286865 memo_bytes_per_entry=160,50,6,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_7.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,858,,,0.369,188,49,2,375,2,0,1,1107,0,0,0,0,0,0,44,188,188,0,0,0.0458,0,45,0,0.0286865,160,All=95;Hits=2;Hits2=0;MerL=0;MerR=0;MinRatio=1;Miss=0;Miss2=0;MovL=0;MovR=0;NbBytesMem=1324;NbBytesMem2=0;NbEntryMem=27;NbEntryMem2=0;NbJobsMem=-1;RAM=4669440;TT=858;szMerL=0;szMerR=0,858.0,,4669440.0,1324.0,0.0,27.0,0.0,-1.0,2.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C:\c++\test2\results\article_code_comparison\raw_results.csv,True,True,True,1.016004,0.9819,0.054026000000000005,0.053175,0.00165557861328125,0.00168609619140625,MATCH,200,True
50,0.2,0.2,7,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_8.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,769,0.2357,54.077,,,50,8800,1777664,SOLVED,769.0,53.366,1040.0,4669440.0,1781760,1.013323,8.461538,0.997701,MATCH,True,,[run] n=50 seed=7 input=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_8.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=769 time_ms=0.2357 nodes=55 max_depth=49 memo_hits=0 memo_misses=109 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=530 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=8 memo_peak=55 memo_final=55 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0464 reconstruction_repairs=0 reconstruction_trace_hits=40 reconstruction_trace_fallbacks=0 memo_used_mb=0.00839233 memo_bytes_per_entry=160,50,7,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_8.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,769,,,0.2357,55,49,0,109,0,0,1,530,0,0,0,0,0,0,8,55,55,0,0,0.0464,0,40,0,0.00839233,160,All=52;Hits=2;Hits2=0;MerL=0;MerR=0;MinRatio=1;Miss=0;Miss2=0;MovL=0;MovR=0;NbBytesMem=1040;NbBytesMem2=0;NbEntryMem=18;NbEntryMem2=0;NbJobsMem=-1;RAM=4669440;TT=769;szMerL=0;szMerR=0,769.0,,4669440.0,1040.0,0.0,18.0,0.0,-1.0,2.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C:\c++\test2\results\article_code_comparison\raw_results.csv,True,True,True,1.013323,0.997701,0.054077,0.053366,0.00165557861328125,0.001659393310546875,MATCH,200,True
50,0.2,0.2,8,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_9.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,775,0.2925,53.428,,,50,12960,1761280,SOLVED,775.0,53.527,1228.0,4816896.0,1802240,0.99815,10.553746,0.977273,MATCH,True,,[run] n=50 seed=8 input=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_9.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=775 time_ms=0.2925 nodes=81 max_depth=49 memo_hits=0 memo_misses=161 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=794 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=1 terminal_edd=12 memo_peak=81 memo_final=81 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0339 reconstruction_repairs=0 reconstruction_trace_hits=32 reconstruction_trace_fallbacks=0 memo_used_mb=0.0123596 memo_bytes_per_entry=160,50,8,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_9.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,775,,,0.2925,81,49,0,161,0,0,1,794,0,0,0,0,0,1,12,81,81,0,0,0.0339,0,32,0,0.0123596,160,All=69;Hits=2;Hits2=0;MerL=0;MerR=0;MinRatio=1;Miss=0;Miss2=0;MovL=0;MovR=0;NbBytesMem=1228;NbBytesMem2=0;NbEntryMem=22;NbEntryMem2=0;NbJobsMem=-1;RAM=4816896;TT=775;szMerL=0;szMerR=0,775.0,,4816896.0,1228.0,0.0,22.0,0.0,-1.0,2.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C:\c++\test2\results\article_code_comparison\raw_results.csv,True,True,True,0.99815,0.977273,0.053427999999999996,0.053527,0.00164031982421875,0.001678466796875,MATCH,200,True
50,0.2,0.2,9,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_10.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,556,0.2643,53.961,,,50,10080,1781760,SOLVED,556.0,53.326,1328.0,4673536.0,1810432,1.011908,7.590361,0.984163,MATCH,True,,[run] n=50 seed=9 input=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_10.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=556 time_ms=0.2643 nodes=63 max_depth=43 memo_hits=0 memo_misses=125 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=1043 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=4 memo_peak=63 memo_final=63 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0407 reconstruction_repairs=0 reconstruction_trace_hits=35 reconstruction_trace_fallbacks=0 memo_used_mb=0.00961304 memo_bytes_per_entry=160,50,9,D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_10.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,556,,,0.2643,63,43,0,125,0,0,1,1043,0,0,0,0,0,0,4,63,63,0,0,0.0407,0,35,0,0.00961304,160,All=58;Hits=2;Hits2=0;MerL=0;MerR=0;MinRatio=1;Miss=0;Miss2=0;MovL=0;MovR=0;NbBytesMem=1328;NbBytesMem2=0;NbEntryMem=22;NbEntryMem2=0;NbJobsMem=-1;RAM=4673536;TT=556;szMerL=0;szMerR=0,556.0,,4673536.0,1328.0,0.0,22.0,0.0,-1.0,2.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C:\c++\test2\results\article_code_comparison\raw_results.csv,True,True,True,1.011908,0.984163,0.053960999999999995,0.053326,0.001659393310546875,0.00168609619140625,MATCH,200,True
