n,rows,both_solved,ours_solved_rate,article_solved_rate,objective_match_rate,objective_matches,objective_mismatches,objective_not_comparable,complete_n,comparable_rows,median_time_ratio,p10_time_ratio,p90_time_ratio,median_memory_ratio,p10_memory_ratio,p90_memory_ratio,median_ours_wall_time_s,median_article_wall_time_s,median_ours_peak_gb,median_article_peak_gb
50,200,200,1.0,1.0,1.0,200,0,0,True,200,1.0029905,0.9858474,1.0166708999999998,0.9797480000000001,0.9122737,1.0155088,0.0536315,0.05348,0.001659393310546875,0.00168609619140625
100,200,200,1.0,1.0,1.0,200,0,0,True,200,1.0025335000000002,0.9830473,1.0171359,0.96297,0.9124221,1.0069798,0.05355599999999999,0.0534475,0.001651763916015625,0.001689910888671875
200,200,200,1.0,1.0,1.0,200,0,0,True,200,1.0048545,0.9859267,1.3310825,0.990767,0.9187433,1.2078088,0.054105,0.053775500000000004,0.00197601318359375,0.001739501953125
300,200,200,1.0,1.0,1.0,200,0,0,True,200,1.0057215,0.9820268999999999,1.3324863999999996,0.9731434999999999,0.7159517000000001,1.1274833,0.0541155,0.0538575,0.00197601318359375,0.00197601318359375
400,200,200,1.0,1.0,1.0,200,0,0,True,200,1.0296664999999998,0.8850949,1.4118299,1.0,0.5252512,1.3849278999999997,0.06313,0.060191999999999996,0.002178192138671875,0.0020046234130859375
500,200,200,1.0,1.0,1.0,200,0,0,True,200,1.0423339999999999,0.8550975000000001,1.3686059999999998,1.0,0.4100315,1.7641402,0.0632915,0.060242500000000004,0.002193450927734375,0.0020275115966796875
600,200,200,1.0,1.0,1.0,200,0,0,True,200,1.041277,0.8211137000000001,1.3465345000000002,1.0105455,0.3843973,1.7046588999999999,0.06320700000000001,0.060259999999999994,0.0022220611572265625,0.0020313262939453125
700,200,200,1.0,1.0,1.0,200,0,0,True,200,1.041855,0.7610614,1.4703367999999999,1.0110994999999998,0.3171756,1.7711157,0.063223,0.0602295,0.002227783203125,0.002040863037109375
800,200,200,1.0,1.0,1.0,200,0,0,True,200,1.0353145000000001,0.7472306000000001,1.4724247999999998,1.0009525,0.2785173,1.5518511999999998,0.0629905,0.060206,0.002227783203125,0.0021228790283203125
900,200,200,1.0,1.0,1.0,200,0,0,True,200,1.0323924999999998,0.7135275000000001,1.3839938999999999,0.999051,0.2961047,1.3404862999999998,0.0925095,0.0603605,0.015077590942382812,0.002155303955078125
1000,200,200,1.0,1.0,1.0,200,0,0,True,200,1.01247,0.7076631000000001,1.4255613,0.9981005000000001,0.2939528,1.4136594999999998,0.092078,0.0603085,0.017286300659179688,0.002147674560546875
1100,200,200,1.0,1.0,1.0,200,0,0,True,200,1.0036635,0.6483764000000001,1.6306519,0.9927125,0.310067,2.086012099999999,0.109708,0.0633055,0.031764984130859375,0.00220489501953125
1200,11,11,1.0,1.0,1.0,11,0,0,False,11,0.928096,0.859102,1.001825,0.870449,0.758672,1.048946,6.092975999999999,6.372725999999999,0.3309783935546875,0.4135551452636719
