n,R,T,seed,instance_path,shared_work_dir,data_mode,ours_exe,ours_reconstruct_status,ours_reconstruct_objective,ours_reconstruct_reported_time_ms,ours_reconstruct_wall_time_ms,ours_reconstruction_success,ours_reconstructed_order_cost,ours_order_length,ours_reconstruct_memo_used_bytes,ours_reconstruct_peak_working_set_bytes,article_status,article_objective,article_wall_time_ms,article_memo_bytes,article_reported_ram_bytes,article_peak_working_set_bytes,ratio_ours_reconstruct_wall_to_article,ratio_ours_reconstruct_memo_to_article_memo,ratio_ours_reconstruct_peak_to_article_peak,objective_comparison_status,objective_match,notes,ours_reconstruct_run_line,ours_reconstruct_run_n,ours_reconstruct_run_seed,ours_reconstruct_run_input,ours_reconstruct_run_decomp,ours_reconstruct_run_memo_backend,ours_reconstruct_run_use_ub,ours_reconstruct_run_use_lb,ours_reconstruct_run_terminal_rules,ours_reconstruct_run_position_filtering_enabled,ours_reconstruct_run_enable_lawler_basic_rules,ours_reconstruct_run_enable_simple_lb,ours_reconstruct_run_enable_lb_memo,ours_reconstruct_run_enable_edd_ub,ours_reconstruct_run_ub_depth_limit,ours_reconstruct_run_lb_depth_limit,ours_reconstruct_run_terminal_all_tardy_spt,ours_reconstruct_run_terminal_edd_at_most_one_tardy,ours_reconstruct_run_enable_memo,ours_reconstruct_run_enable_exact_memo,ours_reconstruct_run_memo_full_key_verification,ours_reconstruct_run_memo_memory_limit_mb,ours_reconstruct_run_cost,ours_reconstruct_run_reconstruction_success,ours_reconstruct_run_reconstructed_order_cost,ours_reconstruct_run_time_ms,ours_reconstruct_run_nodes,ours_reconstruct_run_max_depth,ours_reconstruct_run_memo_hits,ours_reconstruct_run_memo_misses,ours_reconstruct_run_memo_exact_hits,ours_reconstruct_run_memo_lb_hits,ours_reconstruct_run_rule4,ours_reconstruct_run_valid_pos,ours_reconstruct_run_valid_pos_pruned_3a,ours_reconstruct_run_valid_pos_pruned_3b,ours_reconstruct_run_memo_rejected,ours_reconstruct_run_memo_forced_evict,ours_reconstruct_run_lufo_passes,ours_reconstruct_run_terminal_spt,ours_reconstruct_run_terminal_edd,ours_reconstruct_run_memo_peak,ours_reconstruct_run_memo_final,ours_reconstruct_run_memo_evictions,ours_reconstruct_run_memo_clean_time_ms,ours_reconstruct_run_reconstruction_time_ms,ours_reconstruct_run_reconstruction_repairs,ours_reconstruct_run_reconstruction_trace_hits,ours_reconstruct_run_reconstruction_trace_fallbacks,ours_reconstruct_run_memo_used_mb,ours_reconstruct_run_memo_bytes_per_entry,article_raw_metrics,article_metric_TT,article_metric_time,article_metric_RAM,article_metric_NbBytesMem,article_metric_NbBytesMem2,article_metric_NbEntryMem,article_metric_NbEntryMem2,article_metric_NbJobsMem,article_metric_Hits,article_metric_Hits2,article_metric_Miss,article_metric_Miss2,article_metric_All,article_metric_MerL,article_metric_szMerL,article_metric_MerR,article_metric_szMerR,article_metric_MovL,article_metric_MovR,article_metric_MinRatio,source_file,invalid_reason
50,1.0,0.2,0,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_1.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,0,0.0109,54.288,,,50,80,1773568,ERROR,,53.37,,,1789952,1.017201,,0.990847,NOT_COMPARABLE_ERROR,,,[run] n=50 seed=0 input=D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_1.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=0 time_ms=0.0109 nodes=1 max_depth=0 memo_hits=0 memo_misses=1 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=0 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=1 memo_peak=1 memo_final=1 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0009 reconstruction_repairs=0 reconstruction_trace_hits=0 reconstruction_trace_fallbacks=0 memo_used_mb=7.62939e-05 memo_bytes_per_entry=80,50,0,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_1.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,0,,,0.0109,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0009,0,0,0,7.62939e-05,80,,,,,,,,,,,,,,,,,,,,,,C:\c++\test2\results\article_code_comparison\raw_results.csv,article_runner_filename_mismatch_R1_expected_1.0
50,1.0,0.2,1,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_2.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,0,0.0098,54.068,,,50,80,1732608,ERROR,,53.239,,,1810432,1.015571,,0.957014,NOT_COMPARABLE_ERROR,,,[run] n=50 seed=1 input=D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_2.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=0 time_ms=0.0098 nodes=1 max_depth=0 memo_hits=0 memo_misses=1 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=0 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=1 memo_peak=1 memo_final=1 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0007 reconstruction_repairs=0 reconstruction_trace_hits=0 reconstruction_trace_fallbacks=0 memo_used_mb=7.62939e-05 memo_bytes_per_entry=80,50,1,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_2.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,0,,,0.0098,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0007,0,0,0,7.62939e-05,80,,,,,,,,,,,,,,,,,,,,,,C:\c++\test2\results\article_code_comparison\raw_results.csv,article_runner_filename_mismatch_R1_expected_1.0
50,1.0,0.2,2,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_3.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,0,0.0104,54.272,,,50,80,1765376,ERROR,,53.587,,,1875968,1.012783,,0.941048,NOT_COMPARABLE_ERROR,,,[run] n=50 seed=2 input=D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_3.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=0 time_ms=0.0104 nodes=1 max_depth=0 memo_hits=0 memo_misses=1 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=0 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=1 memo_peak=1 memo_final=1 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0007 reconstruction_repairs=0 reconstruction_trace_hits=0 reconstruction_trace_fallbacks=0 memo_used_mb=7.62939e-05 memo_bytes_per_entry=80,50,2,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_3.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,0,,,0.0104,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0007,0,0,0,7.62939e-05,80,,,,,,,,,,,,,,,,,,,,,,C:\c++\test2\results\article_code_comparison\raw_results.csv,article_runner_filename_mismatch_R1_expected_1.0
50,1.0,0.2,3,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_4.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,0,0.0104,53.851,,,50,80,1777664,ERROR,,53.185,,,1847296,1.012522,,0.962306,NOT_COMPARABLE_ERROR,,,[run] n=50 seed=3 input=D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_4.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=0 time_ms=0.0104 nodes=1 max_depth=0 memo_hits=0 memo_misses=1 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=0 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=1 memo_peak=1 memo_final=1 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0007 reconstruction_repairs=0 reconstruction_trace_hits=0 reconstruction_trace_fallbacks=0 memo_used_mb=7.62939e-05 memo_bytes_per_entry=80,50,3,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_4.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,0,,,0.0104,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0007,0,0,0,7.62939e-05,80,,,,,,,,,,,,,,,,,,,,,,C:\c++\test2\results\article_code_comparison\raw_results.csv,article_runner_filename_mismatch_R1_expected_1.0
50,1.0,0.2,4,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_5.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,0,0.0097,54.132,,,50,80,1777664,ERROR,,53.663,,,1810432,1.00874,,0.9819,NOT_COMPARABLE_ERROR,,,[run] n=50 seed=4 input=D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_5.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=0 time_ms=0.0097 nodes=1 max_depth=0 memo_hits=0 memo_misses=1 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=0 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=1 memo_peak=1 memo_final=1 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0009 reconstruction_repairs=0 reconstruction_trace_hits=0 reconstruction_trace_fallbacks=0 memo_used_mb=7.62939e-05 memo_bytes_per_entry=80,50,4,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_5.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,0,,,0.0097,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0009,0,0,0,7.62939e-05,80,,,,,,,,,,,,,,,,,,,,,,C:\c++\test2\results\article_code_comparison\raw_results.csv,article_runner_filename_mismatch_R1_expected_1.0
50,1.0,0.2,5,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_6.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,0,0.0128,53.243,,,50,80,1650688,ERROR,,53.146,,,1757184,1.001825,,0.939394,NOT_COMPARABLE_ERROR,,,[run] n=50 seed=5 input=D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_6.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=0 time_ms=0.0128 nodes=1 max_depth=0 memo_hits=0 memo_misses=1 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=0 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=1 memo_peak=1 memo_final=1 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0008 reconstruction_repairs=0 reconstruction_trace_hits=0 reconstruction_trace_fallbacks=0 memo_used_mb=7.62939e-05 memo_bytes_per_entry=80,50,5,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_6.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,0,,,0.0128,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0008,0,0,0,7.62939e-05,80,,,,,,,,,,,,,,,,,,,,,,C:\c++\test2\results\article_code_comparison\raw_results.csv,article_runner_filename_mismatch_R1_expected_1.0
50,1.0,0.2,6,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_7.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,0,0.0102,53.883,,,50,80,1642496,ERROR,,53.238,,,1830912,1.012115,,0.897092,NOT_COMPARABLE_ERROR,,,[run] n=50 seed=6 input=D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_7.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=0 time_ms=0.0102 nodes=1 max_depth=0 memo_hits=0 memo_misses=1 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=0 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=1 memo_peak=1 memo_final=1 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0009 reconstruction_repairs=0 reconstruction_trace_hits=0 reconstruction_trace_fallbacks=0 memo_used_mb=7.62939e-05 memo_bytes_per_entry=80,50,6,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_7.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,0,,,0.0102,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0009,0,0,0,7.62939e-05,80,,,,,,,,,,,,,,,,,,,,,,C:\c++\test2\results\article_code_comparison\raw_results.csv,article_runner_filename_mismatch_R1_expected_1.0
50,1.0,0.2,7,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_8.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,0,0.0102,53.348,,,50,80,1732608,ERROR,,54.165,,,1875968,0.984916,,0.923581,NOT_COMPARABLE_ERROR,,,[run] n=50 seed=7 input=D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_8.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=0 time_ms=0.0102 nodes=1 max_depth=0 memo_hits=0 memo_misses=1 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=0 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=1 memo_peak=1 memo_final=1 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0009 reconstruction_repairs=0 reconstruction_trace_hits=0 reconstruction_trace_fallbacks=0 memo_used_mb=7.62939e-05 memo_bytes_per_entry=80,50,7,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_8.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,0,,,0.0102,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0009,0,0,0,7.62939e-05,80,,,,,,,,,,,,,,,,,,,,,,C:\c++\test2\results\article_code_comparison\raw_results.csv,article_runner_filename_mismatch_R1_expected_1.0
50,1.0,0.2,8,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_9.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,0,0.0105,53.666,,,50,80,1810432,ERROR,,53.431,,,1843200,1.004398,,0.982222,NOT_COMPARABLE_ERROR,,,[run] n=50 seed=8 input=D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_9.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=0 time_ms=0.0105 nodes=1 max_depth=0 memo_hits=0 memo_misses=1 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=0 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=1 memo_peak=1 memo_final=1 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0008 reconstruction_repairs=0 reconstruction_trace_hits=0 reconstruction_trace_fallbacks=0 memo_used_mb=7.62939e-05 memo_bytes_per_entry=80,50,8,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_9.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,0,,,0.0105,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0008,0,0,0,7.62939e-05,80,,,,,,,,,,,,,,,,,,,,,,C:\c++\test2\results\article_code_comparison\raw_results.csv,article_runner_filename_mismatch_R1_expected_1.0
50,1.0,0.2,9,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_10.txt,D:\test2\results\article_code_comparison,generated_by_project_generator,D:\test2\x64\Release\bm_solver.exe,SOLVED,0,0.01,53.378,,,50,80,1806336,ERROR,,53.205,,,1810432,1.003252,,0.997738,NOT_COMPARABLE_ERROR,,,[run] n=50 seed=9 input=D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_10.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=0 time_ms=0.01 nodes=1 max_depth=0 memo_hits=0 memo_misses=1 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=0 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=1 memo_peak=1 memo_final=1 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0009 reconstruction_repairs=0 reconstruction_trace_hits=0 reconstruction_trace_fallbacks=0 memo_used_mb=7.62939e-05 memo_bytes_per_entry=80,50,9,D:\test2\results\article_code_comparison\data\50\SDT_50_1_0.2_10.txt,adaptive,custom,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,12288,0,,,0.01,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0009,0,0,0,7.62939e-05,80,,,,,,,,,,,,,,,,,,,,,,C:\c++\test2\results\article_code_comparison\raw_results.csv,article_runner_filename_mismatch_R1_expected_1.0
