instance_key,custom_reported_time_ms,std_unordered_reported_time_ms,custom_memo_used_mb,std_unordered_memo_used_mb,custom_objective,std_unordered_objective,process_gated_file,source_file,objective_match,time_ratio_custom_to_std,memory_ratio_custom_to_std,memo_full_key_verification_ok,exact_memo_enabled_ok
100|R=0.2|T=0.4|seed=0,12.7162,7.312,4.5703125,4.7109375,17705.0,17705.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.739086433260394,0.9701492537313433,True,True
100|R=0.2|T=0.4|seed=1,19.3382,10.6001,4.69921875,5.04296875,18567.0,18567.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.8243412797992473,0.9318357862122386,True,True
100|R=0.2|T=0.4|seed=2,12.4456,6.6594,4.69921875,5.04296875,16120.0,16120.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.8688770760128541,0.9318357862122386,True,True
100|R=0.2|T=0.4|seed=3,14.9206,8.2233,4.69921875,5.04296875,20747.0,20747.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.814429730156993,0.9318357862122386,True,True
100|R=0.2|T=0.4|seed=4,39.2082,24.0367,5.421875,5.921875,21447.0,21447.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.6311806529182458,0.9155672823218998,True,True
100|R=0.2|T=0.4|seed=5,9.5149,5.3623,5.421875,5.921875,15938.0,15938.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.774406504671503,0.9155672823218998,True,True
100|R=0.2|T=0.4|seed=6,6.1923,3.4842,5.421875,5.921875,17117.0,17117.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7772515929051147,0.9155672823218998,True,True
100|R=0.2|T=0.4|seed=7,11.9367,6.7099,5.421875,5.921875,14038.0,14038.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.778968389990909,0.9155672823218998,True,True
100|R=0.2|T=0.4|seed=8,39.9287,21.8538,5.45703125,6.12109375,18952.0,18952.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.8270827041521382,0.8915124441608169,True,True
100|R=0.2|T=0.4|seed=9,7.4966,4.072,5.45703125,6.12109375,13959.0,13959.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.8410117878192533,0.8915124441608169,True,True
100|R=0.2|T=0.6|seed=0,33.6187,19.0027,4.8515625,5.68359375,47816.0,47816.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7691538570834668,0.8536082474226804,True,True
100|R=0.2|T=0.6|seed=1,52.4181,30.0525,5.44140625,6.43359375,47998.0,47998.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.744217619166459,0.8457802064359441,True,True
100|R=0.2|T=0.6|seed=2,19.669,11.1189,5.44140625,6.43359375,43329.0,43329.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7689699520636035,0.8457802064359441,True,True
100|R=0.2|T=0.6|seed=3,26.075,14.9163,5.44140625,6.43359375,55559.0,55559.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7480876624900277,0.8457802064359441,True,True
100|R=0.2|T=0.6|seed=4,101.3628,62.1307,7.38671875,8.25390625,55704.0,55704.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.6314446803271168,0.8949361097964978,True,True
100|R=0.2|T=0.6|seed=5,25.4317,14.5073,7.38671875,8.25390625,42398.0,42398.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7530277860111805,0.8949361097964978,True,True
100|R=0.2|T=0.6|seed=6,34.2051,19.9374,7.38671875,8.25390625,48653.0,48653.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7156249059556412,0.8949361097964978,True,True
100|R=0.2|T=0.6|seed=7,50.8674,30.2252,7.38671875,8.25390625,39528.0,39528.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.6829466802535633,0.8949361097964978,True,True
100|R=0.2|T=0.6|seed=8,61.64,36.1863,7.38671875,8.25390625,51695.0,51695.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.703407090528736,0.8949361097964978,True,True
100|R=0.2|T=0.6|seed=9,14.3826,8.316,7.38671875,8.25390625,37879.0,37879.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7295093795093794,0.8949361097964978,True,True
100|R=0.2|T=0.8|seed=0,3.9336,2.3302,4.16015625,4.171875,93918.0,93918.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.6880954424512917,0.9971910112359551,True,True
100|R=0.2|T=0.8|seed=1,18.7248,10.3654,4.70703125,5.0078125,92305.0,92305.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.8064715302834429,0.9399375975039002,True,True
100|R=0.2|T=0.8|seed=2,19.0819,11.0075,4.92578125,5.05078125,87433.0,87433.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7335362253009312,0.9752513534416086,True,True
100|R=0.2|T=0.8|seed=3,11.819,6.21,4.92578125,5.05078125,112204.0,112204.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.9032206119162642,0.9752513534416086,True,True
100|R=0.2|T=0.8|seed=4,23.1514,13.6012,4.97265625,5.21484375,106555.0,106555.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.7021586330617886,0.9535580524344569,True,True
100|R=0.2|T=0.8|seed=5,11.5789,6.3954,4.97265625,5.21484375,83562.0,83562.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.8105044250555087,0.9535580524344569,True,True
100|R=0.2|T=0.8|seed=6,11.6895,6.4221,4.97265625,5.21484375,98304.0,98304.0,True,C:\c++\test2\results\memo_backend_comparison\raw_results.csv,True,1.8201990003269959,0.9535580524344569,True,True
