pair,n,win_rate_percent
"0.2,0.4",50,20.0
"0.2,0.4",100,100.0
"0.2,0.4",200,100.0
"0.2,0.4",300,100.0
"0.2,0.4",500,100.0
"0.2,0.4",700,100.0
"0.2,0.4",900,100.0
"0.2,0.6",50,30.0
"0.2,0.6",100,100.0
"0.2,0.6",200,100.0
"0.2,0.6",300,100.0
"0.2,0.6",500,100.0
"0.2,0.6",700,100.0
"0.2,0.6",900,100.0
"0.2,0.8",50,40.0
"0.2,0.8",100,100.0
"0.2,0.8",200,100.0
"0.2,0.8",300,100.0
"0.2,0.8",500,100.0
"0.2,0.8",700,100.0
"0.2,0.8",900,100.0
"0.4,0.6",50,10.0
"0.4,0.6",100,100.0
"0.4,0.6",200,100.0
"0.4,0.6",300,100.0
"0.4,0.6",500,100.0
"0.4,0.6",700,100.0
"0.4,0.6",900,100.0
