instance_key,bounds_mode,n,R,T,seed,objective_match,time_ratio,node_ratio,memory_ratio,bound_time_share,memo_lb_hit_rate
50|R=0.2|T=0.6|seed=0,simple_lb,50,0.2,0.6,0,True,1.2062182378804316,0.9985310319500551,1.0,0.0403086463584937,
50|R=0.2|T=0.6|seed=1,simple_lb,50,0.2,0.6,1,True,1.0996905578322322,0.9381663113006397,1.0,0.042360635789793905,
50|R=0.2|T=0.6|seed=2,simple_lb,50,0.2,0.6,2,True,1.117582114269942,1.0,1.0,0.03926895529760435,
50|R=0.2|T=0.6|seed=3,simple_lb,50,0.2,0.6,3,True,1.116151974000612,0.9841688654353562,1.0,0.04043767218979722,
50|R=0.2|T=0.6|seed=4,simple_lb,50,0.2,0.6,4,True,1.1229580704133986,0.9785100286532952,1.0,0.04232748660854953,
50|R=0.2|T=0.6|seed=5,simple_lb,50,0.2,0.6,5,True,1.1158084101641557,0.9754601226993865,1.0,0.042724707779121324,
50|R=0.2|T=0.6|seed=6,simple_lb,50,0.2,0.6,6,True,1.1372690401081569,1.0,1.0,0.042478998256459025,
50|R=0.2|T=0.6|seed=7,simple_lb,50,0.2,0.6,7,True,1.1151746031746033,0.9603854389721628,1.0,0.04099294010475974,
50|R=0.2|T=0.6|seed=8,simple_lb,50,0.2,0.6,8,True,1.1378673823394645,0.9936220208123532,1.0,0.04259284826729256,
50|R=0.2|T=0.6|seed=9,simple_lb,50,0.2,0.6,9,True,1.0465476256288353,0.9217638691322901,1.0,0.03708203475780466,
50|R=0.2|T=0.6|seed=0,simple_lb_lb_memo,50,0.2,0.6,0,True,1.2116856049791582,0.9985310319500551,1.0,0.058858873010449925,0.0
50|R=0.2|T=0.6|seed=1,simple_lb_lb_memo,50,0.2,0.6,1,True,1.1322238019570126,0.9381663113006397,1.0,0.06130890825823609,0.0
50|R=0.2|T=0.6|seed=2,simple_lb_lb_memo,50,0.2,0.6,2,True,1.1686447695280153,1.0,1.0,0.06353330184222956,0.0
50|R=0.2|T=0.6|seed=3,simple_lb_lb_memo,50,0.2,0.6,3,True,1.1437690368276083,0.9841688654353562,1.0216962524654833,0.06098213603119187,0.0
50|R=0.2|T=0.6|seed=4,simple_lb_lb_memo,50,0.2,0.6,4,True,1.1644158754496667,0.9785100286532952,1.0216962524654833,0.06290200050645733,0.0
50|R=0.2|T=0.6|seed=5,simple_lb_lb_memo,50,0.2,0.6,5,True,1.1585338430402519,0.9754601226993865,1.0216962524654833,0.06230590062111801,0.0
