series_norm,config_norm,n,R,T,total_count,solved_count,solved_rate,oot_count,oom_count,err_count,median_time_ms_solved,p90_time_ms_solved,median_nodes,p90_nodes,median_memory_peak_bytes,p90_memory_peak_bytes,median_memo_exact_hit_rate,median_memo_lb_hit_rate,median_bound_time_share,median_cleanup_time_share
hard,adaptive_v1,1100,0.2,0.6,10,10,1.0,0,0,0,425058.72160000005,487747.79056,55755090.5,66372795.4,16904933376.0,16905908224.0,0.13209896245650943,,0.0,0.0
hard,adaptive_v2,1100,0.2,0.6,10,10,1.0,0,0,0,420483.52645,473452.79725999996,29916025.0,33296311.7,11199549440.0,11199549440.0,0.07562503052019037,,0.0,0.0
hard,adaptive_v3,1100,0.2,0.6,10,10,1.0,0,0,0,286200.33995000005,317714.02223,20885543.5,23158177.8,7435104256.0,7435104256.0,0.09288384860140857,,0.0,0.0
hard,adaptive_v3,1200,0.2,0.6,10,10,1.0,0,0,0,393573.1852,471422.34433,26683109.0,32188300.8,9733627904.0,11697324032.0,0.09393192614530955,,0.0,0.0
hard,adaptive_v3,1300,0.2,0.6,10,10,1.0,0,0,0,496629.74535,575035.4200299999,31601409.5,37427765.4,12803645440.0,12803657728.0,0.09236089459223257,,0.0,0.0
hard,adaptive_v3,1400,0.2,0.6,10,10,1.0,0,0,0,667639.1592999999,733081.85397,41302162.5,44290891.3,13396537344.0,13396615168.0,0.09592557652156078,,0.0,0.0
hard,adaptive_v3,1500,0.2,0.6,10,10,1.0,0,0,0,794190.9005,886805.49347,45538910.0,50782257.6,14507888640.0,14507888640.0,0.09616142984464385,,0.0,0.0
hard,adaptive_v3,1600,0.2,0.6,10,10,1.0,0,0,0,1142955.2917,1258635.0923900001,61999482.5,63476145.9,14870605824.0,14995165184.0,0.09842818572716683,,0.0,0.0016491878167454671
hard,adaptive_v3,1700,0.2,0.6,10,10,1.0,0,0,0,1332883.4254,1418865.39123,70108916.0,72984898.0,15957467136.0,15963090944.0,0.10050222389053379,,0.0,0.0023533612384011083
hard,adaptive_v3,1800,0.2,0.6,10,10,1.0,0,0,0,1756629.48095,2057758.53335,84948194.0,96677603.8,17098459136.0,17099370496.0,0.09909746518411225,,0.0,0.002932930134118354
hard,both,1100,0.2,0.6,10,10,1.0,0,0,0,432982.698,530733.76893,45226635.0,52255837.5,14687629312.0,14711009280.0,0.15821331739992406,,0.0,0.0
hard,lawler,1100,0.2,0.6,10,10,1.0,0,0,0,419990.4811,496073.86407,56317716.0,66416411.2,16906809344.0,16906809344.0,0.13220601870991266,,0.0,0.0
hard,szwarc,1100,0.2,0.6,10,10,1.0,0,0,0,564346.6931,603135.67764,44630068.0,46942952.3,11199283200.0,11200004096.0,0.08005591778347995,,0.0,0.0
