n,config_norm,median_time_ms_solved,best_ms,cutoff,decision
1100,adaptive_v1,425058.72160000005,286200.33995000005,1.35,eliminated_slow
1100,adaptive_v2,420483.52645,286200.33995000005,1.35,eliminated_slow
1100,adaptive_v3,286200.33995000005,286200.33995000005,1.35,competitive
1100,both,432982.698,286200.33995000005,1.35,eliminated_slow
1100,lawler,419990.4811,286200.33995000005,1.35,eliminated_slow
1100,szwarc,564346.6931,286200.33995000005,1.35,eliminated_slow
1200,adaptive_v3,393573.1852,393573.1852,1.2,competitive
1300,adaptive_v3,496629.74535,496629.74535,1.15,competitive
1400,adaptive_v3,667639.1592999999,667639.1592999999,1.1,competitive
1500,adaptive_v3,794190.9005,794190.9005,1.1,competitive
1600,adaptive_v3,1142955.2917,1142955.2917,1.1,competitive
1700,adaptive_v3,1332883.4254,1332883.4254,1.1,competitive
1800,adaptive_v3,1756629.48095,1756629.48095,1.1,competitive
