n,R,T,config_norm,median_time_ms,solved_rate
50,0.2,0.2,adaptive_v1,0.0664,1.0
50,0.2,0.2,adaptive_v2,0.20884999999999998,1.0
50,0.2,0.2,adaptive_v3,0.20224999999999999,1.0
50,0.2,0.2,both,0.06275,1.0
50,0.2,0.2,lawler,0.06805,1.0
50,0.2,0.2,szwarc,0.21439999999999998,1.0
50,0.2,0.4,adaptive_v1,0.5696,1.0
50,0.2,0.4,adaptive_v2,0.8461000000000001,1.0
50,0.2,0.4,adaptive_v3,0.8495999999999999,1.0
50,0.2,0.4,both,0.49985,1.0
50,0.2,0.4,lawler,0.5644,1.0
50,0.2,0.4,szwarc,0.94265,1.0
50,0.2,0.6,adaptive_v1,1.29615,1.0
50,0.2,0.6,adaptive_v2,1.7360000000000002,1.0
50,0.2,0.6,adaptive_v3,1.73895,1.0
50,0.2,0.6,both,1.0747499999999999,1.0
50,0.2,0.6,lawler,1.2784499999999999,1.0
50,0.2,0.6,szwarc,1.91135,1.0
50,0.2,0.8,adaptive_v1,0.66705,1.0
50,0.2,0.8,adaptive_v2,0.78065,1.0
50,0.2,0.8,adaptive_v3,0.7865,1.0
50,0.2,0.8,both,0.53565,1.0
50,0.2,0.8,lawler,0.68675,1.0
50,0.2,0.8,szwarc,0.8100499999999999,1.0
50,0.4,0.2,adaptive_v1,0.00405,1.0
50,0.4,0.2,adaptive_v2,0.004,1.0
50,0.4,0.2,adaptive_v3,0.00415,1.0
50,0.4,0.2,both,0.00415,1.0
50,0.4,0.2,lawler,0.0040999999999999995,1.0
50,0.4,0.2,szwarc,0.0038,1.0
50,0.4,0.4,adaptive_v1,0.2984,1.0
50,0.4,0.4,adaptive_v2,0.42345,1.0
50,0.4,0.4,adaptive_v3,0.42045,1.0
50,0.4,0.4,both,0.2828,1.0
50,0.4,0.4,lawler,0.29155,1.0
50,0.4,0.4,szwarc,0.6389499999999999,1.0
50,0.4,0.6,adaptive_v1,0.7103999999999999,1.0
50,0.4,0.6,adaptive_v2,0.83225,1.0
50,0.4,0.6,adaptive_v3,0.83445,1.0
50,0.4,0.6,both,0.5943499999999999,1.0
50,0.4,0.6,lawler,0.65435,1.0
50,0.4,0.6,szwarc,0.8902,1.0
50,0.4,0.8,adaptive_v1,0.20534999999999998,1.0
50,0.4,0.8,adaptive_v2,0.2508,1.0
50,0.4,0.8,adaptive_v3,0.25055,1.0
50,0.4,0.8,both,0.16265000000000002,1.0
50,0.4,0.8,lawler,0.19235,1.0
50,0.4,0.8,szwarc,0.25125,1.0
50,0.6,0.2,adaptive_v1,0.0038,1.0
50,0.6,0.2,adaptive_v2,0.0038,1.0
50,0.6,0.2,adaptive_v3,0.0038,1.0
50,0.6,0.2,both,0.0038,1.0
50,0.6,0.2,lawler,0.0037,1.0
50,0.6,0.2,szwarc,0.0037,1.0
50,0.6,0.4,adaptive_v1,0.16875,1.0
50,0.6,0.4,adaptive_v2,0.30510000000000004,1.0
50,0.6,0.4,adaptive_v3,0.3106,1.0
50,0.6,0.4,both,0.1789,1.0
50,0.6,0.4,lawler,0.16699999999999998,1.0
50,0.6,0.4,szwarc,0.3466,1.0
50,0.6,0.6,adaptive_v1,0.3359,1.0
50,0.6,0.6,adaptive_v2,0.48829999999999996,1.0
50,0.6,0.6,adaptive_v3,0.4894,1.0
50,0.6,0.6,both,0.362,1.0
50,0.6,0.6,lawler,0.34704999999999997,1.0
50,0.6,0.6,szwarc,0.5021,1.0
50,0.6,0.8,adaptive_v1,0.127,1.0
50,0.6,0.8,adaptive_v2,0.1373,1.0
50,0.6,0.8,adaptive_v3,0.1401,1.0
50,0.6,0.8,both,0.10744999999999999,1.0
50,0.6,0.8,lawler,0.12409999999999999,1.0
50,0.6,0.8,szwarc,0.12955,1.0
50,0.8,0.2,adaptive_v1,0.0037,1.0
50,0.8,0.2,adaptive_v2,0.0038,1.0
50,0.8,0.2,adaptive_v3,0.00375,1.0
50,0.8,0.2,both,0.0038,1.0
50,0.8,0.2,lawler,0.00365,1.0
50,0.8,0.2,szwarc,0.0038,1.0
50,0.8,0.4,adaptive_v1,0.05595,1.0
50,0.8,0.4,adaptive_v2,0.08895,1.0
50,0.8,0.4,adaptive_v3,0.089,1.0
50,0.8,0.4,both,0.0588,1.0
50,0.8,0.4,lawler,0.059300000000000005,1.0
50,0.8,0.4,szwarc,0.1735,1.0
50,0.8,0.6,adaptive_v1,0.2201,1.0
50,0.8,0.6,adaptive_v2,0.28115,1.0
50,0.8,0.6,adaptive_v3,0.2781,1.0
50,0.8,0.6,both,0.2643,1.0
50,0.8,0.6,lawler,0.2212,1.0
50,0.8,0.6,szwarc,0.34645000000000004,1.0
50,0.8,0.8,adaptive_v1,0.12485000000000002,1.0
50,0.8,0.8,adaptive_v2,0.1526,1.0
50,0.8,0.8,adaptive_v3,0.1411,1.0
50,0.8,0.8,both,0.10055,1.0
50,0.8,0.8,lawler,0.12605,1.0
50,0.8,0.8,szwarc,0.118,1.0
50,1.0,0.2,adaptive_v1,0.0037,1.0
50,1.0,0.2,adaptive_v2,0.0037,1.0
50,1.0,0.2,adaptive_v3,0.0038,1.0
50,1.0,0.2,both,0.00375,1.0
50,1.0,0.2,lawler,0.0038,1.0
50,1.0,0.2,szwarc,0.0037,1.0
50,1.0,0.4,adaptive_v1,0.013750000000000002,1.0
50,1.0,0.4,adaptive_v2,0.0097,1.0
50,1.0,0.4,adaptive_v3,0.0104,1.0
50,1.0,0.4,both,0.011349999999999999,1.0
50,1.0,0.4,lawler,0.010350000000000002,1.0
50,1.0,0.4,szwarc,0.0149,1.0
50,1.0,0.6,adaptive_v1,0.13685,1.0
50,1.0,0.6,adaptive_v2,0.15239999999999998,1.0
50,1.0,0.6,adaptive_v3,0.15610000000000002,1.0
50,1.0,0.6,both,0.13175,1.0
50,1.0,0.6,lawler,0.13965,1.0
50,1.0,0.6,szwarc,0.16820000000000002,1.0
50,1.0,0.8,adaptive_v1,0.1276,1.0
50,1.0,0.8,adaptive_v2,0.12240000000000001,1.0
50,1.0,0.8,adaptive_v3,0.11929999999999999,1.0
50,1.0,0.8,both,0.088,1.0
50,1.0,0.8,lawler,0.11299999999999999,1.0
50,1.0,0.8,szwarc,0.11785,1.0
100,0.2,0.2,adaptive_v1,0.33525,1.0
100,0.2,0.2,adaptive_v2,0.9837,1.0
100,0.2,0.2,adaptive_v3,0.9982,1.0
100,0.2,0.2,both,0.33235000000000003,1.0
100,0.2,0.2,lawler,0.3284,1.0
100,0.2,0.2,szwarc,0.9994,1.0
100,0.2,0.4,adaptive_v1,8.15785,1.0
100,0.2,0.4,adaptive_v2,12.4614,1.0
100,0.2,0.4,adaptive_v3,12.517800000000001,1.0
100,0.2,0.4,both,6.6372,1.0
100,0.2,0.4,lawler,8.085550000000001,1.0
100,0.2,0.4,szwarc,14.744150000000001,1.0
100,0.2,0.6,adaptive_v1,25.04735,1.0
100,0.2,0.6,adaptive_v2,33.206649999999996,1.0
100,0.2,0.6,adaptive_v3,33.26565,1.0
100,0.2,0.6,both,20.9095,1.0
100,0.2,0.6,lawler,24.790950000000002,1.0
100,0.2,0.6,szwarc,39.886250000000004,1.0
100,0.2,0.8,adaptive_v1,9.27475,1.0
100,0.2,0.8,adaptive_v2,13.061350000000001,1.0
100,0.2,0.8,adaptive_v3,12.94555,1.0
100,0.2,0.8,both,7.7618,1.0
100,0.2,0.8,lawler,9.06995,1.0
100,0.2,0.8,szwarc,14.0974,1.0
100,0.4,0.2,adaptive_v1,0.008150000000000001,1.0
100,0.4,0.2,adaptive_v2,0.0123,1.0
100,0.4,0.2,adaptive_v3,0.0084,1.0
100,0.4,0.2,both,0.0101,1.0
100,0.4,0.2,lawler,0.008150000000000001,1.0
100,0.4,0.2,szwarc,0.19145,1.0
100,0.4,0.4,adaptive_v1,1.8444500000000001,1.0
100,0.4,0.4,adaptive_v2,3.1807499999999997,1.0
100,0.4,0.4,adaptive_v3,3.28095,1.0
100,0.4,0.4,both,1.6562000000000001,1.0
100,0.4,0.4,lawler,1.7561,1.0
100,0.4,0.4,szwarc,3.7334,1.0
100,0.4,0.6,adaptive_v1,10.17555,1.0
100,0.4,0.6,adaptive_v2,15.1192,1.0
100,0.4,0.6,adaptive_v3,15.1252,1.0
100,0.4,0.6,both,9.68425,1.0
100,0.4,0.6,lawler,10.04425,1.0
100,0.4,0.6,szwarc,18.812649999999998,1.0
100,0.4,0.8,adaptive_v1,0.7455499999999999,1.0
100,0.4,0.8,adaptive_v2,0.94495,1.0
100,0.4,0.8,adaptive_v3,0.95855,1.0
100,0.4,0.8,both,0.6532,1.0
100,0.4,0.8,lawler,0.7394499999999999,1.0
100,0.4,0.8,szwarc,0.99365,1.0
100,0.6,0.2,adaptive_v1,0.00415,1.0
100,0.6,0.2,adaptive_v2,0.0039,1.0
100,0.6,0.2,adaptive_v3,0.004,1.0
100,0.6,0.2,both,0.004,1.0
100,0.6,0.2,lawler,0.004,1.0
100,0.6,0.2,szwarc,0.0041,1.0
100,0.6,0.4,adaptive_v1,0.45620000000000005,1.0
100,0.6,0.4,adaptive_v2,0.94565,1.0
100,0.6,0.4,adaptive_v3,0.8127500000000001,1.0
100,0.6,0.4,both,0.41975,1.0
100,0.6,0.4,lawler,0.45495,1.0
100,0.6,0.4,szwarc,0.99725,1.0
100,0.6,0.6,adaptive_v1,3.67975,1.0
100,0.6,0.6,adaptive_v2,5.3553999999999995,1.0
100,0.6,0.6,adaptive_v3,5.39595,1.0
100,0.6,0.6,both,3.6271500000000003,1.0
100,0.6,0.6,lawler,3.6800499999999996,1.0
100,0.6,0.6,szwarc,7.4780999999999995,1.0
100,0.6,0.8,adaptive_v1,0.30510000000000004,1.0
100,0.6,0.8,adaptive_v2,0.3546,1.0
100,0.6,0.8,adaptive_v3,0.36685,1.0
100,0.6,0.8,both,0.2491,1.0
100,0.6,0.8,lawler,0.30535,1.0
100,0.6,0.8,szwarc,0.3313,1.0
100,0.8,0.2,adaptive_v1,0.004,1.0
100,0.8,0.2,adaptive_v2,0.00425,1.0
100,0.8,0.2,adaptive_v3,0.004,1.0
100,0.8,0.2,both,0.004,1.0
100,0.8,0.2,lawler,0.00425,1.0
100,0.8,0.2,szwarc,0.0040999999999999995,1.0
100,0.8,0.4,adaptive_v1,0.04725,1.0
100,0.8,0.4,adaptive_v2,0.06055,1.0
100,0.8,0.4,adaptive_v3,0.0612,1.0
100,0.8,0.4,both,0.0507,1.0
100,0.8,0.4,lawler,0.0467,1.0
100,0.8,0.4,szwarc,0.39790000000000003,1.0
100,0.8,0.6,adaptive_v1,1.0428,1.0
100,0.8,0.6,adaptive_v2,1.37825,1.0
100,0.8,0.6,adaptive_v3,1.5224,1.0
100,0.8,0.6,both,1.11195,1.0
100,0.8,0.6,lawler,1.02925,1.0
100,0.8,0.6,szwarc,1.52285,1.0
100,0.8,0.8,adaptive_v1,0.2636,1.0
100,0.8,0.8,adaptive_v2,0.32225000000000004,1.0
100,0.8,0.8,adaptive_v3,0.33394999999999997,1.0
100,0.8,0.8,both,0.21805,1.0
100,0.8,0.8,lawler,0.28095000000000003,1.0
100,0.8,0.8,szwarc,0.2693,1.0
100,1.0,0.2,adaptive_v1,0.0042,1.0
100,1.0,0.2,adaptive_v2,0.0042,1.0
100,1.0,0.2,adaptive_v3,0.00415,1.0
100,1.0,0.2,both,0.00405,1.0
