R,T,n,fastest_config,best_median_time_ms,solved_rate,median_across_configs_ms,p90_config_median_ms,hardness_ratio_best,hardness_ratio_median
0.8,0.2,1000,both,0.009049999999999999,1.0,0.009899999999999999,0.010275,1.0,1.0259067357512954
1.0,0.4,1000,adaptive_v1,0.00915,1.0,0.0097,0.010725,1.0110497237569063,1.0051813471502593
1.0,0.2,1000,lawler,0.009250000000000001,1.0,0.009649999999999999,0.011075000000000002,1.0220994475138123,1.0
0.6,0.2,1000,both,0.00965,1.0,0.009925,0.0118,1.0662983425414367,1.028497409326425
0.4,0.2,1000,lawler,0.0411,1.0,0.052925,8.69095,4.541436464088398,5.484455958549224
0.8,0.4,1000,adaptive_v1,0.09725,1.0,0.15445,8.831774999999999,10.745856353591162,16.005181347150263
0.6,0.8,1000,both,5.4891000000000005,1.0,8.213149999999999,11.329474999999999,606.5303867403317,851.1036269430051
0.8,0.8,1000,both,6.4973,1.0,7.292825000000001,10.602175,717.9337016574586,755.7331606217618
1.0,0.8,1000,both,6.63255,1.0,7.148750000000001,10.722925,732.8784530386741,740.8031088082903
1.0,0.6,1000,lawler,9.330649999999999,1.0,13.759875000000001,16.773850000000003,1031.011049723757,1425.8937823834199
0.4,0.8,1000,lawler,123.8195,1.0,264.091825,345.16785,13681.712707182323,27367.028497409327
0.8,0.6,1000,lawler,467.52285,1.0,1095.7750999999998,1532.026725,51659.98342541437,113551.82383419688
0.6,0.4,1000,lawler,670.36925,1.0,1247.8645999999999,2152.891225,74073.9502762431,129312.39378238343
0.2,0.2,1000,both,2127.8476,1.0,2483.4209499999997,4537.7835749999995,235121.28176795584,257349.32124352333
0.6,0.6,1000,lawler,14404.116450000001,1.0,28819.225925,43696.50945,1591615.0773480667,2986448.28238342
0.4,0.4,1000,adaptive_v1,15755.14365,1.0,19262.43135,33491.119125,1740899.8508287296,1996106.8756476685
0.4,0.6,1000,lawler,83501.1581,1.0,96263.168475,136349.498875,9226647.303867405,9975457.873056997
0.2,0.8,1000,adaptive_v3,87458.38785,1.0,117701.648325,122055.61327500001,9663910.259668509,12197062.002590675
0.2,0.4,1000,adaptive_v3,89975.94279999999,1.0,111210.1434,175796.335025,9942093.127071824,11524367.191709846
0.2,0.6,1000,adaptive_v3,196415.89740000002,1.0,272847.2329,336307.0369,21703414.077348072,28274324.652849745
