R,T,config_norm,time_ms_norm,ratio_to_best,pair
0.2,0.2,adaptive_v1,2182.9105499999996,1.0258772996712733,"0.2,0.2"
0.2,0.2,adaptive_v2,3401.3581000000004,1.598497044619173,"0.2,0.2"
0.2,0.2,adaptive_v3,2783.93135,1.3083321145743707,"0.2,0.2"
0.2,0.2,both,2127.8476,1.0,"0.2,0.2"
0.2,0.2,lawler,2161.9193,1.0160122839624417,"0.2,0.2"
0.2,0.2,szwarc,5674.2090499999995,2.666642596960421,"0.2,0.2"
0.2,0.4,adaptive_v1,106191.1347,1.1802169712857957,"0.2,0.4"
0.2,0.4,adaptive_v2,121328.48120000001,1.3484546804882163,"0.2,0.4"
0.2,0.4,adaptive_v3,89975.94279999999,1.0,"0.2,0.4"
0.2,0.4,both,116229.1521,1.2917803190832475,"0.2,0.4"
0.2,0.4,lawler,105605.07465,1.1737034518742493,"0.2,0.4"
0.2,0.4,szwarc,230264.18885,2.5591750604029238,"0.2,0.4"
0.2,0.6,adaptive_v1,273761.2443,1.3937835375030085,"0.2,0.6"
0.2,0.6,adaptive_v2,268574.971,1.3673789879291105,"0.2,0.6"
0.2,0.6,adaptive_v3,196415.89740000002,1.0,"0.2,0.6"
0.2,0.6,both,293725.7326,1.495427490789246,"0.2,0.6"
0.2,0.6,lawler,271933.2215,1.3844766391093553,"0.2,0.6"
0.2,0.6,szwarc,378888.3412,1.9290105649055267,"0.2,0.6"
0.2,0.8,adaptive_v1,118894.71225000001,1.3594432183442084,"0.2,0.8"
0.2,0.8,adaptive_v2,125216.51430000001,1.431726760328112,"0.2,0.8"
0.2,0.8,adaptive_v3,87458.38785,1.0,"0.2,0.8"
0.2,0.8,both,108109.74055,1.2361277540974018,"0.2,0.8"
0.2,0.8,lawler,118310.85115,1.3527673452306839,"0.2,0.8"
0.2,0.8,szwarc,117092.4455,1.3388360839765925,"0.2,0.8"
0.4,0.2,adaptive_v1,0.0432,1.051094890510949,"0.4,0.2"
0.4,0.2,adaptive_v2,0.0539,1.3114355231143553,"0.4,0.2"
0.4,0.2,adaptive_v3,0.051949999999999996,1.2639902676399026,"0.4,0.2"
0.4,0.2,both,0.0619,1.5060827250608273,"0.4,0.2"
0.4,0.2,lawler,0.0411,1.0,"0.4,0.2"
0.4,0.2,szwarc,17.32,421.41119221411196,"0.4,0.2"
0.4,0.4,adaptive_v1,15755.14365,1.0,"0.4,0.4"
0.4,0.4,adaptive_v2,25503.01115,1.6187101632678544,"0.4,0.4"
0.4,0.4,adaptive_v3,19103.88625,1.2125491632696095,"0.4,0.4"
0.4,0.4,both,19420.976450000002,1.2326753015673075,"0.4,0.4"
0.4,0.4,lawler,15854.797,1.0063251311580392,"0.4,0.4"
0.4,0.4,szwarc,41479.227100000004,2.632741917272205,"0.4,0.4"
0.4,0.6,adaptive_v1,83867.24650000001,1.004384231408642,"0.4,0.6"
0.4,0.6,adaptive_v2,109125.3796,1.306872648033369,"0.4,0.6"
0.4,0.6,adaptive_v3,85827.61155,1.0278613315424185,"0.4,0.6"
0.4,0.6,both,106698.7254,1.2778113241521616,"0.4,0.6"
0.4,0.6,lawler,83501.1581,1.0,"0.4,0.6"
0.4,0.6,szwarc,163573.61815,1.9589383174076,"0.4,0.6"
0.4,0.8,adaptive_v1,123.87935,1.0004833648980975,"0.4,0.8"
0.4,0.8,adaptive_v2,319.38275,2.5794220619530845,"0.4,0.8"
0.4,0.8,adaptive_v3,354.8257,2.8656689778265942,"0.4,0.8"
0.4,0.8,both,208.8009,1.686332928173672,"0.4,0.8"
0.4,0.8,lawler,123.8195,1.0,"0.4,0.8"
0.4,0.8,szwarc,335.51,2.709670124657263,"0.4,0.8"
0.6,0.2,adaptive_v1,0.01065,1.1036269430051813,"0.6,0.2"
0.6,0.2,adaptive_v2,0.009899999999999999,1.0259067357512952,"0.6,0.2"
0.6,0.2,adaptive_v3,0.0097,1.005181347150259,"0.6,0.2"
0.6,0.2,both,0.00965,1.0,"0.6,0.2"
0.6,0.2,lawler,0.01295,1.3419689119170983,"0.6,0.2"
0.6,0.2,szwarc,0.00995,1.0310880829015543,"0.6,0.2"
0.6,0.4,adaptive_v1,677.4694,1.010591401679,"0.6,0.4"
0.6,0.4,adaptive_v2,1831.7679,2.7324760197458344,"0.6,0.4"
0.6,0.4,adaptive_v3,1513.73595,2.2580629257681495,"0.6,0.4"
0.6,0.4,both,981.99325,1.4648542575602923,"0.6,0.4"
0.6,0.4,lawler,670.36925,1.0,"0.6,0.4"
0.6,0.4,szwarc,2474.01455,3.690525109855501,"0.6,0.4"
0.6,0.6,adaptive_v1,14419.435150000001,1.0010634945956716,"0.6,0.6"
0.6,0.6,adaptive_v2,39436.53125,2.737865344736226,"0.6,0.6"
0.6,0.6,adaptive_v3,31604.3969,2.1941225627900276,"0.6,0.6"
0.6,0.6,both,26034.054949999998,1.807403809901856,"0.6,0.6"
0.6,0.6,lawler,14404.116450000001,1.0,"0.6,0.6"
0.6,0.6,szwarc,47956.487649999995,3.329359896281593,"0.6,0.6"
0.6,0.8,adaptive_v1,8.26065,1.5049188391539596,"0.6,0.8"
0.6,0.8,adaptive_v2,11.027149999999999,2.0089176732069007,"0.6,0.8"
0.6,0.8,adaptive_v3,11.6318,2.1190723433714087,"0.6,0.8"
0.6,0.8,both,5.4891000000000005,1.0,"0.6,0.8"
0.6,0.8,lawler,8.16565,1.4876118125011384,"0.6,0.8"
0.6,0.8,szwarc,6.21865,1.1329088557322693,"0.6,0.8"
0.8,0.2,adaptive_v1,0.009899999999999999,1.0939226519337018,"0.8,0.2"
0.8,0.2,adaptive_v2,0.01005,1.110497237569061,"0.8,0.2"
0.8,0.2,adaptive_v3,0.0099,1.093922651933702,"0.8,0.2"
0.8,0.2,both,0.009049999999999999,1.0,"0.8,0.2"
0.8,0.2,lawler,0.0105,1.1602209944751383,"0.8,0.2"
0.8,0.2,szwarc,0.0093,1.0276243093922652,"0.8,0.2"
0.8,0.4,adaptive_v1,0.09725,1.0,"0.8,0.4"
0.8,0.4,adaptive_v2,0.19615,2.0169665809768635,"0.8,0.4"
0.8,0.4,adaptive_v3,0.15625,1.6066838046272494,"0.8,0.4"
0.8,0.4,both,0.15265,1.5696658097686376,"0.8,0.4"
0.8,0.4,lawler,0.09795000000000001,1.0071979434447302,"0.8,0.4"
0.8,0.4,szwarc,17.467399999999998,179.61336760925448,"0.8,0.4"
0.8,0.6,adaptive_v1,472.1934,1.009989993002481,"0.8,0.6"
0.8,0.6,adaptive_v2,1306.1296,2.793723558110582,"0.8,0.6"
0.8,0.6,adaptive_v3,1494.20455,3.1960032541724965,"0.8,0.6"
0.8,0.6,both,885.4205999999999,1.8938552415138639,"0.8,0.6"
0.8,0.6,lawler,467.52285,1.0,"0.8,0.6"
