series_norm,config_norm,n,R,T,total_count,solved_count,solved_rate,oot_count,oom_count,err_count,median_time_ms_solved,p90_time_ms_solved,median_nodes,p90_nodes,median_memory_peak_bytes,p90_memory_peak_bytes,median_memo_exact_hit_rate,median_memo_lb_hit_rate,median_bound_time_share,median_cleanup_time_share,complete_stage,rank_by_n
hard,lawler,50,0.8,0.2,10,10,1.0,0,0,0,0.00365,0.00371,1.0,1.0,4227072.0,4227072.0,0.0,,0.0,0.0,True,1
hard,adaptive_v1,50,0.8,0.2,10,10,1.0,0,0,0,0.0037,0.00381,1.0,1.0,4329472.0,4329472.0,0.0,,0.0,0.0,True,2
hard,lawler,50,0.6,0.2,10,10,1.0,0,0,0,0.0037,0.00381,1.0,1.0,4227072.0,4227072.0,0.0,,0.0,0.0,True,3
hard,szwarc,50,0.6,0.2,10,10,1.0,0,0,0,0.0037,0.00403,1.0,1.0,4349952.0,4349952.0,0.0,,0.0,0.0,True,4
hard,adaptive_v1,50,1.0,0.2,10,10,1.0,0,0,0,0.0037,0.00412,1.0,1.0,4329472.0,4329472.0,0.0,,0.0,0.0,True,5
hard,adaptive_v2,50,1.0,0.2,10,10,1.0,0,0,0,0.0037,0.0041600000000000005,1.0,1.0,4472832.0,4472832.0,0.0,,0.0,0.0,True,6
hard,szwarc,50,1.0,0.2,10,10,1.0,0,0,0,0.0037,0.004349999999999998,1.0,1.0,4349952.0,4349952.0,0.0,,0.0,0.0,True,7
hard,both,50,1.0,0.2,10,10,1.0,0,0,0,0.00375,0.00381,1.0,1.0,4182016.0,4182016.0,0.0,,0.0,0.0,True,8
hard,adaptive_v3,50,0.8,0.2,10,10,1.0,0,0,0,0.00375,0.004,1.0,1.0,4456448.0,4456448.0,0.0,,0.0,0.0,True,9
hard,adaptive_v3,50,0.6,0.2,10,10,1.0,0,0,0,0.0038,0.00381,1.0,1.0,4456448.0,4456448.0,0.0,,0.0,0.0,True,10
hard,both,50,0.8,0.2,10,10,1.0,0,0,0,0.0038,0.00381,1.0,1.0,4182016.0,4182016.0,0.0,,0.0,0.0,True,11
hard,adaptive_v1,50,0.6,0.2,10,10,1.0,0,0,0,0.0038,0.00401,1.0,1.0,4329472.0,4329472.0,0.0,,0.0,0.0,True,12
hard,both,50,0.6,0.2,10,10,1.0,0,0,0,0.0038,0.00401,1.0,1.0,4182016.0,4182016.0,0.0,,0.0,0.0,True,13
hard,adaptive_v2,50,0.6,0.2,10,10,1.0,0,0,0,0.0038,0.0040999999999999995,1.0,1.0,4472832.0,4472832.0,0.0,,0.0,0.0,True,14
hard,adaptive_v2,50,0.8,0.2,10,10,1.0,0,0,0,0.0038,0.00411,1.0,1.0,4472832.0,4472832.0,0.0,,0.0,0.0,True,15
hard,lawler,50,1.0,0.2,10,10,1.0,0,0,0,0.0038,0.004119999999999999,1.0,1.0,4227072.0,4227072.0,0.0,,0.0,0.0,True,16
hard,adaptive_v3,50,1.0,0.2,10,10,1.0,0,0,0,0.0038,0.004809999999999999,1.0,1.0,4456448.0,4456448.0,0.0,,0.0,0.0,True,17
hard,szwarc,50,0.8,0.2,10,10,1.0,0,0,0,0.0038,0.00626,1.0,1.0,4349952.0,4349952.0,0.0,,0.0,0.0,True,18
hard,szwarc,50,0.4,0.2,10,10,1.0,0,0,0,0.0038,0.16138999999999998,1.0,50.1,4349952.0,4349952.0,0.0,,0.0,0.0,True,19
hard,adaptive_v2,50,0.4,0.2,10,10,1.0,0,0,0,0.004,0.04061,1.0,14.1,4472832.0,4472832.0,0.0,,0.0,0.0,True,20
hard,adaptive_v1,50,0.4,0.2,10,10,1.0,0,0,0,0.00405,0.03338,1.0,12.2,4329472.0,4329472.0,0.0,,0.0,0.0,True,21
hard,lawler,50,0.4,0.2,10,10,1.0,0,0,0,0.0040999999999999995,0.035859999999999996,1.0,12.2,4227072.0,4227072.0,0.0,,0.0,0.0,True,22
hard,both,50,0.4,0.2,10,10,1.0,0,0,0,0.00415,0.030549999999999997,1.0,10.2,4182016.0,4182016.0,0.0,,0.0,0.0,True,23
hard,adaptive_v3,50,0.4,0.2,10,10,1.0,0,0,0,0.00415,0.03914,1.0,14.1,4456448.0,4456448.0,0.0,,0.0,0.0,True,24
