n,config_norm,solved_rate,median_time_ms_solved,p90_time_ms_solved
50,both,1.0,0.1196,0.29820499999999994
100,lawler,1.0,0.34592500000000004,0.7729499999999999
200,both,1.0,1.9905000000000002,6.122779999999999
300,adaptive_v1,1.0,3.18185,12.485569999999996
400,lawler,1.0,9.011775,25.24708999999999
500,adaptive_v1,1.0,16.179225000000002,42.08425499999998
600,lawler,1.0,26.106975000000002,77.79176
700,adaptive_v1,1.0,37.31595,86.10298999999996
800,lawler,1.0,66.22835,141.38481499999997
900,adaptive_v1,1.0,41.853875,100.32124499999989
1000,lawler,1.0,66.575075,197.49236499999995
