config_norm,n,wins
adaptive_v1,50,19
adaptive_v1,100,13
adaptive_v1,200,19
adaptive_v1,300,31
adaptive_v1,400,29
adaptive_v1,500,36
adaptive_v1,600,28
adaptive_v1,700,97
adaptive_v1,800,30
adaptive_v1,900,46
adaptive_v1,1000,26
adaptive_v2,50,1
adaptive_v2,100,7
adaptive_v2,200,4
adaptive_v2,300,1
adaptive_v2,400,6
adaptive_v2,500,5
adaptive_v2,600,14
adaptive_v2,700,13
adaptive_v2,800,9
adaptive_v2,900,5
adaptive_v2,1000,10
adaptive_v3,50,2
adaptive_v3,100,2
adaptive_v3,200,5
adaptive_v3,300,8
adaptive_v3,400,14
adaptive_v3,500,34
adaptive_v3,600,23
adaptive_v3,700,33
adaptive_v3,800,35
adaptive_v3,900,36
adaptive_v3,1000,38
both,50,127
both,100,132
both,200,110
both,300,80
both,400,69
both,500,55
both,600,55
both,700,42
both,800,44
both,900,37
both,1000,33
lawler,50,39
lawler,100,38
lawler,200,52
lawler,300,70
lawler,400,74
lawler,500,68
lawler,600,69
lawler,700,7
lawler,800,75
lawler,900,69
lawler,1000,79
szwarc,50,12
szwarc,100,8
szwarc,200,10
szwarc,300,10
szwarc,400,8
szwarc,500,2
szwarc,600,11
szwarc,700,8
szwarc,800,7
szwarc,900,7
szwarc,1000,14
