source_file,source_scheme,series_norm,n,R,T,seed,instance_key,config_norm,status_norm,solved,objective_norm,time_ms_norm,timeout_sec_norm,penalized_time_ms,memory_peak_bytes_norm,nodes,process_memory_gate,possibly_process_gated,memo_exact_hits,memo_exact_queries,memo_lb_hits,memo_lb_queries,bound_time_ms,cleanup_time_ms,memo_cleanup_time_ms,memo_clean_time_ms,simple_lb_calls,simple_lb_prunes,memo_full_key_verification,enable_exact_memo,enable_memo,memory_limit_gb,memo_backend,enable_simple_lb,enable_lb_memo,enable_edd_ub,reconstruct_order,reconstruction_trace
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.2,0,50|R=0.2|T=0.2|seed=0|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_1.txt,ours_reconstruct,solved,True,824.0,63.432,,63.432,32768.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.2,1,50|R=0.2|T=0.2|seed=1|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_2.txt,ours_reconstruct,solved,True,456.0,53.364,,53.364,1806336.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.2,2,50|R=0.2|T=0.2|seed=2|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_3.txt,ours_reconstruct,solved,True,643.0,53.408,,53.408,1810432.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.2,3,50|R=0.2|T=0.2|seed=3|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_4.txt,ours_reconstruct,solved,True,653.0,54.268,,54.268,1794048.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.2,4,50|R=0.2|T=0.2|seed=4|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_5.txt,ours_reconstruct,solved,True,612.0,54.09,,54.09,1765376.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.2,5,50|R=0.2|T=0.2|seed=5|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_6.txt,ours_reconstruct,solved,True,583.0,53.309,,53.309,1642496.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.2,6,50|R=0.2|T=0.2|seed=6|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_7.txt,ours_reconstruct,solved,True,858.0,54.026,,54.026,1777664.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.2,7,50|R=0.2|T=0.2|seed=7|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_8.txt,ours_reconstruct,solved,True,769.0,54.077,,54.077,1777664.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.2,8,50|R=0.2|T=0.2|seed=8|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_9.txt,ours_reconstruct,solved,True,775.0,53.428,,53.428,1761280.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.2,9,50|R=0.2|T=0.2|seed=9|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.2_10.txt,ours_reconstruct,solved,True,556.0,53.961,,53.961,1781760.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.4,0,50|R=0.2|T=0.4|seed=0|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.4_1.txt,ours_reconstruct,solved,True,5103.0,53.364,,53.364,1794048.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.4,1,50|R=0.2|T=0.4|seed=1|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.4_2.txt,ours_reconstruct,solved,True,3501.0,53.7,,53.7,1810432.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.4,2,50|R=0.2|T=0.4|seed=2|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.4_3.txt,ours_reconstruct,solved,True,4285.0,53.608,,53.608,1794048.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.4,3,50|R=0.2|T=0.4|seed=3|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.4_4.txt,ours_reconstruct,solved,True,5158.0,53.507,,53.507,1810432.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.4,4,50|R=0.2|T=0.4|seed=4|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.4_5.txt,ours_reconstruct,solved,True,4809.0,54.051,,54.051,1671168.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.4,5,50|R=0.2|T=0.4|seed=5|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.4_6.txt,ours_reconstruct,solved,True,4095.0,53.352,,53.352,1748992.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.4,6,50|R=0.2|T=0.4|seed=6|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.4_7.txt,ours_reconstruct,solved,True,5356.0,53.269,,53.269,1777664.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.4,7,50|R=0.2|T=0.4|seed=7|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.4_8.txt,ours_reconstruct,solved,True,4799.0,53.346,,53.346,1794048.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.4,8,50|R=0.2|T=0.4|seed=8|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.4_9.txt,ours_reconstruct,solved,True,5292.0,53.895,,53.895,1781760.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.4,9,50|R=0.2|T=0.4|seed=9|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.4_10.txt,ours_reconstruct,solved,True,4126.0,53.818,,53.818,1708032.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.6,0,50|R=0.2|T=0.6|seed=0|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.6_1.txt,ours_reconstruct,solved,True,12477.0,53.646,,53.646,1716224.0,,False,False,,,,,,,,,,,,,,,,,,,,
