source_file,config_norm,n,R,T,seed,solve_only_time_ms,solve_with_reconstruction_time_ms,overhead_ms,overhead_percent,wall_overhead_ms,wall_overhead_percent,actual_reconstruction_time_ms,solve_only_memory_mb,objective_match,order_valid,memory_mb,memory_ratio_to_solve_only,trace_hits,trace_fallbacks
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.2,0.6,0,18.6763,19.6682,0.9918999999999976,5.311009139925988,-1.195,-4.143263,0.1295,0.910904,True,True,1.739,1.9090925059062207,85.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.2,0.6,1,29.5475,31.8429,2.2954000000000008,7.768508334038415,-2.445,-5.889154,0.1602,1.37257,True,True,2.62035,1.909082961160451,81.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.2,0.6,2,12.1766,12.1788,0.002200000000000202,0.01806744082913294,-0.739,-3.606461,0.1114,0.546677,True,True,1.04366,1.909098059731798,76.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.2,0.6,3,14.815,15.6187,0.803700000000001,5.424907188660148,2.025,8.782963,0.135,0.723755,True,True,1.38171,1.9090852567512486,94.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.2,0.6,4,61.443,64.6105,3.167500000000004,5.155184479924489,2.18,3.128678,0.1183,2.48111,True,True,4.73666,1.9090890770663127,77.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.2,0.4,0,7.6073,7.6272,0.019899999999999807,0.26159084037700375,-1.062,-6.760886,0.1033,0.351974,True,True,0.671951,1.9090927170756928,77.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.2,0.4,1,10.8586,11.4462,0.5876000000000001,5.411378999134328,-1.002,-5.158301,0.1021,0.544579,True,True,1.03965,1.9090894066792878,73.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.2,0.4,2,6.831,6.953,0.12199999999999989,1.7859756990191755,-1.105,-7.247327,0.1173,0.375893,True,True,0.717613,1.9090884906076995,80.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.2,0.4,3,8.3878,8.7711,0.3833000000000002,4.569732230143782,-0.751,-4.540233,0.118,0.428848,True,True,0.81871,1.909091333059732,84.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.2,0.4,4,24.0253,24.4733,0.44799999999999685,1.864700961070192,-1.879,-5.564934,0.1408,1.0174,True,True,1.94231,1.9090918026341654,80.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.4,0.6,0,11.021,11.1396,0.11859999999999893,1.0761273931585058,-2.346,-11.157084,0.1208,0.522842,True,True,0.998154,1.9090929955894895,79.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.4,0.6,1,12.2413,12.7609,0.5195999999999987,4.244647218841126,-4.575,-18.712422,0.1072,0.54055,True,True,1.03196,1.9090925908796597,72.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.4,0.6,2,3.1585,3.347,0.1884999999999999,5.968022795630834,-1.007,-9.028151,0.1013,0.150055,True,True,0.286469,1.90909333244477,75.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.4,0.6,3,3.245,3.4271,0.1820999999999997,5.611710323574721,-1.05,-8.612911,0.1637,0.155006,True,True,0.295921,1.9090938415287149,86.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,100,0.4,0.6,4,31.2367,32.2983,1.0615999999999985,3.3985664298725493,0.548,1.392843,0.1481,1.30392,True,True,2.4893,1.9090895146941531,71.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.6,0,2166.07,2254.98,88.90999999999985,4.104668824183884,90.406,4.147028,0.9366,56.1464,True,True,96.251,1.7142862231594547,251.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.6,1,2310.41,2359.92,49.51000000000022,2.142909700009964,48.554,2.086347,0.8809,56.9131,True,True,97.5654,1.7142872203411867,238.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.6,2,1076.31,1113.39,37.080000000000155,3.4451041056944707,35.95,3.294158,0.6976,31.4267,True,True,53.8744,1.7142875325758034,207.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.6,3,3791.3,3912.18,120.87999999999965,3.1883522802204953,122.794,3.225404,0.5837,82.9804,True,True,142.252,1.7142843370241647,164.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.6,4,1939.92,1948.74,8.819999999999936,0.4546579240381014,8.545,0.437,0.7224,53.3784,True,True,91.5059,1.7142870524406877,219.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.4,0,1142.96,1165.0,22.039999999999964,1.928326450619441,21.348,1.844906,0.3574,35.4267,True,True,60.7315,1.7142861175328215,124.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.4,1,1536.04,1563.66,27.62000000000012,1.7981302570245643,27.538,1.775832,0.8468,40.1092,True,True,68.7587,1.7142874951382725,244.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.4,2,1055.05,1086.48,31.430000000000064,2.9790057343253937,31.725,2.967624,0.5852,34.8922,True,True,59.8152,1.7142857142857142,171.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.4,3,1344.6,1373.22,28.62000000000012,2.1285140562249083,28.46,2.094873,0.6537,34.4444,True,True,59.0475,1.7142844700444775,178.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.2,0.4,4,751.846,774.04,22.19399999999996,2.951934305695576,22.644,2.959408,0.3956,23.4874,True,True,40.2642,1.7142893636588128,128.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.4,0.6,0,1060.56,1082.78,22.220000000000027,2.0951195594780145,22.739,2.117243,0.8122,25.4076,True,True,43.5558,1.7142823407169507,226.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.4,0.6,1,1413.79,1437.56,23.769999999999982,1.6812963735774042,23.74,1.66262,0.8755,32.7689,True,True,56.1753,1.714287022145998,240.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.4,0.6,2,570.024,590.885,20.86099999999999,3.6596704700152958,18.949,3.244508,0.5883,16.0717,True,True,27.5515,1.7142866031595911,211.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.4,0.6,3,1616.55,1640.06,23.50999999999999,1.4543317558999096,23.335,1.431335,0.8611,31.5864,True,True,54.1481,1.7142852620114986,228.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,300,0.4,0.6,4,1156.54,1186.19,29.65000000000009,2.5636813253324653,28.187,2.405763,0.603,29.7922,True,True,51.0723,1.7142842757500285,181.0,0.0
